Total Bed Capacity,ICU Availability,Number of Medical Specialties,Key Specialty Presence,CT or MRI available,Specialist Doctor Count,Emergency & Trauma Services,Teaching / Tertiary Status,Hospital Name,Has_Cardiac,Has_Multi-specialty,Has_General,Has_Neuro,Has_Cancer,Bed_to_Doctor_Ratio,Specialty_Density,Capacity_Score,Equipment_Score,Service_Score,Readiness_Score
137,1,11,"Cancer, Neuro",0,14,1,0,Riverside Regional Health Center,0,0,0,1,1,9.133333333333333,0.07971014492753623,0.116,1,1,0.6081333333333333
85,1,12,Cancer,0,10,1,0,Riverside Mercy Clinic,0,0,0,0,1,7.7272727272727275,0.13953488372093023,0.04666666666666667,1,1,0.5940000000000001
731,1,23,"Cardiac, General, Multi-specialty, Neuro",1,105,1,0,Brighton Medical Center,1,1,1,1,0,6.89622641509434,0.031420765027322405,0.908,2,1,1.2257333333333333
50,1,10,"General, Multi-specialty, Neuro",0,10,1,0,Clearwater Hospital,0,1,1,1,0,4.545454545454546,0.19607843137254902,0.0,1,1,0.5666666666666667
751,1,22,"Cancer, Cardiac, General",1,102,1,0,Mercy Clearwater Health System,1,0,1,0,1,7.29126213592233,0.02925531914893617,0.9346666666666666,2,1,1.2270666666666667
449,1,27,"Cancer, Cardiac, Multi-specialty",1,84,1,1,Central Medical Medical Complex,1,1,0,0,1,5.2823529411764705,0.06,0.532,2,2,1.3396
65,0,9,"Cardiac, Multi-specialty, Neuro",1,9,0,0,Eastside Memorial Health System,1,1,0,1,0,6.5,0.13636363636363635,0.02,1,0,0.366
129,1,6,"General, Multi-specialty, Neuro",1,11,0,0,Bridgeport General Clinic,0,1,1,1,0,10.75,0.046153846153846156,0.10533333333333333,2,0,0.6716
56,1,18,"Cancer, Multi-specialty",1,11,0,1,Lakeside Healthcare Facility,0,1,0,0,1,4.666666666666667,0.3157894736842105,0.008,2,1,0.9224
397,1,20,"Cancer, Multi-specialty, Neuro",1,84,1,1,Greenfield Medical Center,0,1,0,1,1,4.670588235294118,0.05025125628140704,0.46266666666666667,2,2,1.2721333333333333
104,1,9,"Cancer, Cardiac, Multi-specialty",1,12,0,0,Hope Fairview Medical Facility,1,1,0,0,1,8.0,0.08571428571428572,0.072,2,0,0.6816
137,1,11,"Multi-specialty, Neuro",1,15,1,0,Second Regional Clinic,0,1,0,1,0,8.5625,0.07971014492753623,0.116,2,1,0.9081333333333333
150,1,9,"Cancer, Cardiac, Neuro",0,14,1,0,Oakwood Healthcare Medical Center,1,0,0,1,1,10.0,0.059602649006622516,0.13333333333333333,1,1,0.6000000000000001
670,1,28,"Cancer, Cardiac, Multi-specialty",1,160,1,1,Greenwood Healthcare Health Center,1,1,0,0,1,4.161490683229814,0.041728763040238454,0.8266666666666667,2,2,1.4346666666666668
116,1,8,Multi-specialty,1,10,1,0,Coastal Medical Center,0,1,0,0,0,10.545454545454545,0.06837606837606838,0.088,2,1,0.8797333333333334
562,1,25,"Cancer, General, Multi-specialty, Neuro",1,118,1,1,Lakeside Hospital,0,1,1,1,1,4.722689075630252,0.04440497335701599,0.6826666666666666,2,2,1.3714666666666668
111,1,8,"Multi-specialty, Neuro",0,10,0,0,Grace Metro Health Center,0,1,0,1,0,10.090909090909092,0.07142857142857142,0.08133333333333333,1,0,0.3777333333333333
309,1,15,"Cancer, General, Multi-specialty, Neuro",0,31,1,0,Central Community Medical Center,0,1,1,1,1,9.65625,0.04838709677419355,0.3453333333333333,1,1,0.7035999999999999
103,1,6,Multi-specialty,1,12,1,0,Southside Regional Healthcare Facility,0,1,0,0,0,7.923076923076923,0.057692307692307696,0.07066666666666667,2,1,0.8612
144,0,11,Multi-specialty,1,19,1,0,Bridgeport Memorial Health Center,0,1,0,0,0,7.2,0.07586206896551724,0.12533333333333332,1,1,0.6109333333333334
213,1,27,"Cancer, General, Multi-specialty, Neuro",1,41,1,1,Eastend Health Center,0,1,1,1,1,5.071428571428571,0.1261682242990654,0.21733333333333332,2,2,1.2451999999999999
120,1,8,"General, Neuro",1,11,0,0,Uptown Healthcare Center,0,0,1,1,0,10.0,0.06611570247933884,0.09333333333333334,2,0,0.6813333333333333
